method,edge_noise,attr_noise,run,acc,hit1,hit5,runtime
FINAL-style,0.3,0.5,0,0.029411764705882353,0.029411764705882353,0.2647058823529412,
Node2Vec+NN,0.3,0.5,1,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.29786014556884766
FINAL-style,0.3,0.5,1,0.058823529411764705,0.058823529411764705,0.20588235294117646,
Node2Vec+NN,0.3,0.5,2,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.28604722023010254
FINAL-style,0.3,0.5,2,0.08823529411764706,0.08823529411764706,0.20588235294117646,
Node2Vec+NN,0.5,0.0,0,0.0,0.0,0.11764705882352941,0.24497222900390625
FINAL-style,0.5,0.0,0,0.23529411764705882,0.23529411764705882,0.5,
Node2Vec+NN,0.5,0.0,1,0.0,0.0,0.0,0.2653079032897949
FINAL-style,0.5,0.0,1,0.08823529411764706,0.08823529411764706,0.35294117647058826,
Node2Vec+NN,0.5,0.0,2,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.252685546875
FINAL-style,0.5,0.0,2,0.14705882352941177,0.14705882352941177,0.35294117647058826,
Node2Vec+NN,0.5,0.1,0,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.2547647953033447
FINAL-style,0.5,0.1,0,0.14705882352941177,0.14705882352941177,0.5294117647058824,
Node2Vec+NN,0.5,0.1,1,0.0,0.0,0.20588235294117646,0.24610543251037598
FINAL-style,0.5,0.1,1,0.14705882352941177,0.14705882352941177,0.35294117647058826,
Node2Vec+NN,0.5,0.1,2,0.029411764705882353,0.029411764705882353,0.23529411764705882,0.24407434463500977
FINAL-style,0.5,0.1,2,0.23529411764705882,0.23529411764705882,0.4117647058823529,
Node2Vec+NN,0.5,0.2,0,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.2639904022216797
FINAL-style,0.5,0.2,0,0.058823529411764705,0.058823529411764705,0.38235294117647056,
Node2Vec+NN,0.5,0.2,1,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.2521030902862549
FINAL-style,0.5,0.2,1,0.14705882352941177,0.14705882352941177,0.35294117647058826,
Node2Vec+NN,0.5,0.2,2,0.058823529411764705,0.058823529411764705,0.14705882352941177,0.2695317268371582
FINAL-style,0.5,0.2,2,0.058823529411764705,0.058823529411764705,0.29411764705882354,
Node2Vec+NN,0.5,0.3,0,0.0,0.0,0.08823529411764706,0.25080323219299316
FINAL-style,0.5,0.3,0,0.17647058823529413,0.17647058823529413,0.35294117647058826,
Node2Vec+NN,0.5,0.3,1,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.23996925354003906
FINAL-style,0.5,0.3,1,0.14705882352941177,0.14705882352941177,0.35294117647058826,
Node2Vec+NN,0.5,0.3,2,0.08823529411764706,0.08823529411764706,0.2647058823529412,0.25081682205200195
FINAL-style,0.5,0.3,2,0.058823529411764705,0.058823529411764705,0.3235294117647059,
Node2Vec+NN,0.5,0.5,0,0.029411764705882353,0.029411764705882353,0.14705882352941177,0.25714707374572754
FINAL-style,0.5,0.5,0,0.08823529411764706,0.08823529411764706,0.20588235294117646,
Node2Vec+NN,0.5,0.5,1,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.2578849792480469
FINAL-style,0.5,0.5,1,0.11764705882352941,0.11764705882352941,0.4117647058823529,
Node2Vec+NN,0.5,0.5,2,0.0,0.0,0.058823529411764705,0.2552919387817383
FINAL-style,0.5,0.5,2,0.058823529411764705,0.058823529411764705,0.3235294117647059,
